repository	group_id	original_refs	tip_shas	unique_commit_count	affected_products	final_disposition	target_branch	sanitized_evidence
my-shtty-pi	my-shtty-pi-U003	refs/heads/source-preservation/chrono-benchmark	f9e811a08d497ad7a2f1911887546d40ccee249c	1	pi-chrono-compaction	REJECTED_NONCORE	-	The branch changes only benchmark documentation, a benchmark script/test, and the package script that exposes the benchmark.
my-shtty-pi	my-shtty-pi-U004	refs/heads/architecture/first-principles-audit-20260830	a617af76144043d2692b3cc50850beefffd5fb69	2	repository-support	REJECTED_NONCORE	-	The branch contains architecture reports and report data only; no product runtime or build source.
my-shtty-pi	my-shtty-pi-U005	refs/heads/agent/ask-user-core	f98a5f789dcd663599cd63c20b77b7fe5062a79a	2	grounded-tools	ABSORBED_CANONICAL	-	All five changed ask_user/dialog TypeScript runtime files and the dialog manifest match the Stage 1 deployed closure byte-for-byte; the core manifest is replaced by the exact deployed manifest.
my-shtty-pi	my-shtty-pi-U006	refs/heads/fix/workplan-long-horizon-capacity	03e43c0e83954d26b95bd7ca50fcbac91038c1d2	1	grounded-tools	ABSORBED_CANONICAL	-	Both changed workplan TypeScript runtime files match the Stage 1 deployed closure byte-for-byte; remaining files are README/tests.
my-shtty-pi	my-shtty-pi-U007	refs/heads/source-preservation/grounded-artifacts	cc1de08e1ddf4ecc1d46795111f7bfa9b8e9b59e	1	grounded-tools	REJECTED_NONCORE	-	The branch contains only artifact documentation and an artifact-packaging test.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U006	refs/heads/fix/adopted-root-rebind	47cee2d0a6dbca46466837acdb028e213c260dee	20	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/adopted-root-rebind-code	Unique undeployed integrated orchestrator code differs from the exact deployed source baseline and supersedes several ancestor feature tips.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U007	refs/heads/integrate/concurrent-orchestrator-20260901;refs/heads/main	14786f1192faae7f163b355cb6955db70b1a1b24;747d97c426de1ff3b901438bcdc28184e83100ca	19	pi-herdr-orchestrator	DUPLICATE_OR_SUPERSEDED	-	Both member tips are Git ancestors of U006 tip 47cee2d0a6dbca46466837acdb028e213c260dee.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U009	refs/heads/fix/completion-driven-runtime	e206d2db6b92ed547eb4aed102bac246e883630b	15	pi-herdr-orchestrator	DUPLICATE_OR_SUPERSEDED	-	Tip e206d2db6b92ed547eb4aed102bac246e883630b is a Git ancestor of U006 tip 47cee2d0a6dbca46466837acdb028e213c260dee.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U010	refs/heads/project/lifecycle-cancel-fix	b7547803d4f69e49ba3a7f1932461a2c926dc3e2	13	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/lifecycle-cancel-fix	Unique undeployed cancellation-quiescence code diverges from both the deployed baseline and U006; it is not present in the deployed orchestrator.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U011	refs/heads/fix/orchestrate-wait-until-finish	f825b2d1e879010714ae7b0dda1ffb913792747b	15	pi-herdr-orchestrator	DUPLICATE_OR_SUPERSEDED	-	Tip f825b2d1e879010714ae7b0dda1ffb913792747b is a Git ancestor of U006 tip 47cee2d0a6dbca46466837acdb028e213c260dee.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U012	refs/heads/deploy/adopted-root-rebind-recovery	79046614e870088b832f9dd1d98495e16cfd9345	13	pi-herdr-orchestrator	ABSORBED_CANONICAL	-	Tip 79046614e870088b832f9dd1d98495e16cfd9345 is the selected exact-build source baseline and reproduces all 30 deployed JavaScript closure files.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U013	refs/heads/integrate/recent-work-snapshot	4f0dce52402af009425c5f174b5b214f2c9135d4	14	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/recent-work-snapshot	The bounded recent-work implementation diverges from the selected deployed baseline and is not a Git ancestor of the selected integrated U006 preservation tip.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U014	refs/heads/integrate/recent-work-final-snapshot	aaa010008231ad31926337fa35ff096e40be1867	14	pi-herdr-orchestrator	DUPLICATE_OR_SUPERSEDED	-	Tip aaa010008231ad31926337fa35ff096e40be1867 is a Git ancestor of U006 tip 47cee2d0a6dbca46466837acdb028e213c260dee.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U018	refs/heads/agent/phase2-final-shell-overlay	b324ba7e1b20d84fe35b358ef1771e716cacef0e	1	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/phase2-final-shell-overlay	Unique undeployed deck overlay and shell-header source differs from the selected deployed baseline and other preservation tips.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U020	refs/heads/agent/phase2-contract-agent-activity-overlay	9b3a10ceb4ca8c09e19c2f750a9025de557bbf49	1	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/phase2-agent-activity-overlay	Unique undeployed Agent Board activity and overlay contract source differs from the selected deployed baseline and other preservation tips.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U021	refs/heads/agent/phase2-final-render-qa	0bf9e83fc0947d042b8ffef8d9437c91fa738d49	1	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/phase2-final-render-qa	Unique undeployed final deck render source differs from the selected deployed baseline and other preservation tips.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U026	refs/heads/agent/unified-controls-groups	0ed0dc5a39f916dc28684d8c8847859eec8f4580	2	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/unified-controls-groups	Unique undeployed parent-tool/control-group source and schemas differ from the selected deployed baseline.
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U032	refs/heads/agent/phase2-contract-render-qa	124c5222be536c12e129a8450ff1cafcbda3a992	1	pi-herdr-orchestrator	PRESERVED_TARGET_BRANCH	preserved/pi-herdr-orchestrator/phase2-contract-render-qa	Unique undeployed render-contract source differs from the selected deployed baseline and other preservation tips.
pi-signal-board	pi-signal-board-U004	refs/heads/agent/ask-user-signals-deploy-fix-20260827	047ab0e767a7655eb854647e09487a188952516a	2	pi-signal-board	ABSORBED_CANONICAL	-	Tip 047ab0e767a7655eb854647e09487a188952516a is the selected exact-build source baseline and reproduces all 57 deployed JavaScript closure files.
pi-signal-board	pi-signal-board-U005	refs/heads/agent/ask-user-signals-provider	3c303e5364cebf2f84ebc16ace01c0099a821569	1	pi-signal-board	ABSORBED_CANONICAL	-	Tip 3c303e5364cebf2f84ebc16ace01c0099a821569 is a Git ancestor of canonical tip 047ab0e767a7655eb854647e09487a188952516a.
pi-signal-board	pi-signal-board-U007	refs/heads/feat/sb-024-question-escalation	17f24491ae5a38d6d6199fe1d8c01e7edfbcc457	1	pi-signal-board	DUPLICATE_OR_SUPERSEDED	-	The exact deployed source baseline contains the same question-escalation module/API in a later implementation and reproduces the deployed closure byte-for-byte.
pi-signal-board	pi-signal-board-U009	refs/heads/feat/sb-023-expiry-service	52cc52529f3079b209bbdffef539aafb87e6ee03	1	pi-signal-board	DUPLICATE_OR_SUPERSEDED	-	The exact deployed source baseline contains the same expiry/lifecycle modules in a later implementation and reproduces the deployed closure byte-for-byte.
pi-signal-board	pi-signal-board-U020	refs/heads/dependabot/npm_and_yarn/types/node-26.2.0	cbec935976f329c1ace540f54b235bf9dd7a86ff	1	pi-signal-board	REJECTED_STALE_DEPENDENCY	-	Undeployed Dependabot-only @types/node development dependency update.
pi-signal-board	pi-signal-board-U023	refs/heads/dependabot/npm_and_yarn/typescript-7.0.2	7ce0d53abb0b04ba7403ef7c7c042a93918673e1	1	pi-signal-board	REJECTED_STALE_DEPENDENCY	-	Undeployed Dependabot-only TypeScript development dependency update.
pi-signal-board	pi-signal-board-U025	refs/heads/feat/sb-011-selectors	dcfd94eab964ba6789b30aa2bbca8e7ddd178aea	1	pi-signal-board	DUPLICATE_OR_SUPERSEDED	-	The exact deployed source baseline contains the same replay-safe selector module/API in a later implementation and reproduces the deployed closure byte-for-byte.
pi-signal-board	pi-signal-board-U032	refs/heads/dependabot/npm_and_yarn/test-toolchain-b6d487308a	88250c5f5d5f65c84209690a54d9369544f06a3d	1	pi-signal-board	REJECTED_STALE_DEPENDENCY	-	Undeployed Dependabot-only test-toolchain development dependency update.
