repository	ref/group	tip SHA	unique commit count	affected products	deployed-byte relationship	classification	proposed destination	safe-to-delete-later	evidence
my-shtty-pi	my-shtty-pi-U001 [local:refs/heads/agent/foundation-runtime-fix-054]	dccd2de8dce1beb622c4ec3b154855b2846bd76d	1	repository-support	NO_ACTIVE_DEPLOYED_RUNTIME_RELATION	DUPLICATE_OR_SUPERSEDED	repository support review	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=11; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi	my-shtty-pi-U002 [local:refs/heads/agent/phase2-final-files-provider]	a5358975bd61821c0b27b29bfa82d11dcf4efe17	1	files-ui	EXACT_DEPLOYED_SOURCE	DUPLICATE_OR_SUPERSEDED	packages/files-ui	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi	my-shtty-pi-U003 [local:refs/heads/source-preservation/chrono-benchmark]	f9e811a08d497ad7a2f1911887546d40ccee249c	1	pi-chrono-compaction	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/pi-chrono-compaction	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4
my-shtty-pi	my-shtty-pi-U004 [local:refs/heads/architecture/first-principles-audit-20260830]	a617af76144043d2692b3cc50850beefffd5fb69	2	repository-support	NO_ACTIVE_DEPLOYED_RUNTIME_RELATION	NON_EXTENSION_SUPPORT_MATERIAL	repository support review	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=26
my-shtty-pi	my-shtty-pi-U005 [local:refs/heads/agent/ask-user-core]	f98a5f789dcd663599cd63c20b77b7fe5062a79a	2	grounded-tools	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/grounded-tools	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=17
my-shtty-pi	my-shtty-pi-U006 [local:refs/heads/fix/workplan-long-horizon-capacity]	03e43c0e83954d26b95bd7ca50fcbac91038c1d2	1	grounded-tools	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/grounded-tools	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=6
my-shtty-pi	my-shtty-pi-U007 [local:refs/heads/source-preservation/grounded-artifacts]	cc1de08e1ddf4ecc1d46795111f7bfa9b8e9b59e	1	grounded-tools	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	UNKNOWN_REQUIRES_REVIEW	packages/grounded-tools	no	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=3
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U001 [local:refs/heads/agent/phase2-final-files-screen]	630bb92465b68fd936861ee3bf9a04d51a093bbf	2	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=2; all stable commit patch IDs occur in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U002 [local:refs/heads/project/pi-herd-modern-tui]	63ab9923f4c73f8be87c2dc2a31792b0a4d08035	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
my-shtty-pi-herdr-deck	my-shtty-pi-herdr-deck-U003 [local:refs/heads/agent/final-gate-agents-activity]	5f43d9ce3698949315db07cbafb7ce315aafa816	1	pi-herdr-orchestrator	ACTIVE_PRODUCT_SOURCE_BUT_NO_EXACT_DEPLOYED_FILE_SET	DUPLICATE_OR_SUPERSEDED	packages/pi-herdr-orchestrator	yes	equivalence=patch-set; trees=1; patch_sets=1; changed_paths=4; all stable commit patch IDs occur in remote main; aggregate branch diff patch ID occurs in remote main
