repository	scope	clone_group	ref	sha	ahead_main	behind_main	merged_into_main	date	subject
my-shtty-pi	local	my-shtty-pi-1ef6a36ded	refs/heads/architecture/first-principles-audit-20260830	a617af76144043d2692b3cc50850beefffd5fb69	2	0	no	2026-08-31T01:29:33-07:00	docs: satisfy architecture markdown lint
my-shtty-pi	local	my-shtty-pi-1ef6a36ded	refs/heads/main	21ea17db6e5cfd98c5c044f505cdc0acc519e750	0	0	yes	2026-08-28T10:01:52-07:00	Merge pull request #25 from JCFrags/agent/pi-extension-completion-20260827
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/admin/github-governance	515d32f3d2ee1228addc4e31ab86ca476d1eff89	0	87	yes	2026-08-09T22:35:05-07:00	Record applied GitHub administration
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/agent/ask-user-core	f98a5f789dcd663599cd63c20b77b7fe5062a79a	2	45	no	2026-08-26T23:44:20-07:00	fix(grounded): normalize ask_user terminal and retry handling
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/agent/files-provider-main-sync	13ea6260bcc038f86b34bd9f1fd7f2a9edd7bead	0	15	yes	2026-08-23T13:28:08-07:00	Merge current main into Files provider feature
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/agent/foundation-runtime-fix-054	dccd2de8dce1beb622c4ec3b154855b2846bd76d	1	90	no	2026-08-09T19:55:05-07:00	Correct Foundation runtime and CLI boundaries
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/agent/phase2-final-files-provider	a5358975bd61821c0b27b29bfa82d11dcf4efe17	1	47	no	2026-08-23T10:24:24-07:00	fix(files): refresh provider snapshot state
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/files-side-panel-state	cc2561b389752227e7849e47fcb318e0ec102dc4	0	45	yes	2026-08-23T11:45:06-07:00	docs(files): document informational provider rows
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/ui-files-finish	1b063f9dbea31f6621a438e04154cb3ae5b3028e	0	70	yes	2026-08-20T22:04:58-07:00	Merge pull request #10 from JCFrags/feat/ui-files-finish
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/ui-herdr-status-finish	f89284373dd46ead78c620fe2b3f7be189768970	0	68	yes	2026-08-20T22:10:20-07:00	Merge pull request #11 from JCFrags/feat/ui-herdr-status-finish
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/ui-review-finish	fe958cf1a90e512c90e472603b09f167101d5507	0	58	yes	2026-08-21T11:31:09-07:00	Merge origin/main into feat/ui-review-finish
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/ui-todo-panel	05ef8fb0314f93895d9f94092e4e87bff9a6e0d2	0	66	yes	2026-08-20T22:13:27-07:00	Merge pull request #12 from JCFrags/feat/ui-todo-panel
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/feat/ui-tool-controls-finish	d4e610fb2ddff1a12eead82c1470f1613d5f9617	0	63	yes	2026-08-20T22:17:07-07:00	Merge pull request #13 from JCFrags/feat/ui-tool-controls-finish
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/fix/files-ui-noop-refresh-render	f15e147693fc2c52e10cb63e2f4ca98b2ddd0138	0	49	yes	2026-08-22T21:04:50-07:00	Complete Files refresh render model
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/fix/workplan-long-horizon-capacity	03e43c0e83954d26b95bd7ca50fcbac91038c1d2	1	0	no	2026-08-30T22:46:34-07:00	feat(workplan): support long-horizon project state
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/foundation/repository-control-plane	50274950ed18dc0455f4a306799c7e8fe3c0b9aa	0	89	yes	2026-08-09T19:58:10-07:00	Correct Foundation runtime and CLI boundaries
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/main	21ea17db6e5cfd98c5c044f505cdc0acc519e750	0	0	yes	2026-08-28T10:01:52-07:00	Merge pull request #25 from JCFrags/agent/pi-extension-completion-20260827
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/source-preservation/chrono-benchmark	f9e811a08d497ad7a2f1911887546d40ccee249c	1	97	no	2026-08-08T18:48:13-07:00	Preserve ChronoCompact public benchmark
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/source-preservation/grounded-artifacts	cc1de08e1ddf4ecc1d46795111f7bfa9b8e9b59e	1	97	no	2026-08-08T18:51:18-07:00	Preserve Grounded Tools artifact checks
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/source-preservation/public-benchmark-artifacts	a4f4985dd93e3fafbc0a8d6e7679dcbd140a0a3b	0	94	yes	2026-08-08T22:43:40-07:00	Harden Grounded artifact verification
my-shtty-pi	local	my-shtty-pi-894739fcb9	refs/heads/work/chrono-compact-scale-redesign	9a4d25a46f329bd91828a22a925e5de81c71eee4	0	20	yes	2026-08-23T10:35:56-07:00	fix(chrono-compact): close final review gaps
my-shtty-pi	remote	-	refs/heads/admin/github-governance	515d32f3d2ee1228addc4e31ab86ca476d1eff89	0	87	yes	2026-08-09T22:35:05-07:00	Record applied GitHub administration
my-shtty-pi	remote	-	refs/heads/feat/files-side-panel-state	13ea6260bcc038f86b34bd9f1fd7f2a9edd7bead	0	15	yes	2026-08-23T13:28:08-07:00	Merge current main into Files provider feature
my-shtty-pi	remote	-	refs/heads/feat/pi-agent-context-date-cache	9253030eef6111239ed391bbe6616e095c46961d	0	62	yes	2026-08-21T11:28:17-07:00	feat(agent-context): stabilize date cache input
my-shtty-pi	remote	-	refs/heads/feat/ui-herdr-status-finish	f65a277fb35fb53f26937dae7b11cc6baae89493	0	69	yes	2026-08-20T22:09:04-07:00	docs(herdr-status): record real 0.8.2 acceptance
my-shtty-pi	remote	-	refs/heads/feat/ui-todo-panel	0e4b7891fea574d071da483e67914bab852cf10f	0	67	yes	2026-08-20T22:12:09-07:00	feat(grounded): add responsive todo plan UI
my-shtty-pi	remote	-	refs/heads/fix/files-ui-noop-refresh-render	f15e147693fc2c52e10cb63e2f4ca98b2ddd0138	0	49	yes	2026-08-22T21:04:50-07:00	Complete Files refresh render model
my-shtty-pi	remote	-	refs/heads/foundation/repository-control-plane	50274950ed18dc0455f4a306799c7e8fe3c0b9aa	0	89	yes	2026-08-09T19:58:10-07:00	Correct Foundation runtime and CLI boundaries
my-shtty-pi	remote	-	refs/heads/main	21ea17db6e5cfd98c5c044f505cdc0acc519e750	0	0	yes	2026-08-28T10:01:52-07:00	Merge pull request #25 from JCFrags/agent/pi-extension-completion-20260827
my-shtty-pi	remote	-	refs/heads/source-preservation/public-benchmark-artifacts	a4f4985dd93e3fafbc0a8d6e7679dcbd140a0a3b	0	94	yes	2026-08-08T22:43:40-07:00	Harden Grounded artifact verification
